time,GEN1:Vt,GEN1:delta,GEN1:omega,GEN1:P,GEN2:P,GEN3:P,GEN2:Vt,GEN2:delta,GEN3:delta,GEN2:omega,GEN3:omega,GEN4:delta,GEN5:delta,GEN6:delta,GEN7:delta,GEN8:delta,GEN9:delta,GEN10:delta
0.0,1.0474999999999934,0.06299000003203052,1.0,2.4999999999998748,5.728271009135569,6.499999999999762,0.9819999999999774,0.8067176020430458,0.8425322180767598,1.0,1.0,0.9431319960321978,1.0025645053723453,0.8423103184037759,0.9717368712878053,0.9806600686539788,1.10936111611295,-0.019334771552013835
0.01,0.8665488311914533,0.06367505842103849,1.0002004543936271,0.6172020681225477,1.5874673516109605,1.342323217386047,0.5716048634871411,0.8088380731441721,0.8447918194719571,1.0006807648076543,1.0007201333140157,0.9448430953268003,1.0036597560452054,0.8442313104348862,0.9728419074875276,0.9819880142232111,1.1105957330249203,-0.019268391637989095
0.02,0.8644733621369718,0.0650893525560062,1.0004003781260942,0.6955310277911628,1.585484307460999,1.3422462954832541,0.5693147455077394,0.813549868056378,0.8497680017652047,1.001363650824971,1.001439804653367,0.9486531147401328,1.0060831280282805,0.8484271051974701,0.9753173145581764,0.9849330784135435,1.113354724008798,-0.01911272357146981
0.03,0.8625504874353689,0.06724811167367964,1.0006022769453629,0.723386461305382,1.5881495663677079,1.3465938740889727,0.5669263243928889,0.8208337825455222,0.8574542627862884,1.0020453609101687,1.002158168065766,0.9545796188143422,1.0098444731800766,0.8548625813292792,0.9791912942969968,0.9894715934647613,1.1176562497918243,-0.018862889175363426
0.04,0.8607034684678547,0.07016979048437227,1.0008077583354407,0.7200025672019261,1.5948783958021826,1.3548178503624928,0.5644428844974105,0.8306832297750057,0.8678439311137046,1.0027252771877853,1.002874722402923,0.9626350323914329,1.014955200042603,0.8635014011704538,0.9844916843468043,0.9955782738320658,1.1235166757333697,-0.01851341316328448
0.05,0.8588933220217032,0.07387477434334071,1.0010178534055,0.6971640358245601,1.6052224592679591,1.3664979012504535,0.5618634028897399,0.8430895151744181,0.880928623163092,1.00340283291578,1.0035890076705907,0.9728266720465784,1.0214281138881132,0.8743061180027784,0.9912457746928622,1.0032265051085665,1.1309505785503982,-0.018058399607459624
0.06,1.0340891159765562,0.0777136480991342,1.0010441837091035,2.49983877977364,5.723764937732664,6.536746965221244,0.9598219508833564,0.8559250964314795,0.8944487221069078,1.0033994161168103,1.003579873740412,0.983499174277931,1.0282184762879514,0.8853288268634687,0.9984230975414476,1.0110953465607664,1.138780937199384,-0.01753842502058734
0.07,1.0344334162611004,0.08171358002640244,1.001080539293687,2.3266208781623114,5.777936626732091,6.604089749933676,0.9585810196693231,0.8687194363097885,0.9079044910115733,1.003387784405999,1.0035620609414198,0.9942638468016486,1.035120167108768,0.8961734991488561,1.0057955369636324,1.018884177696212,1.1467404073199028,-0.01696148853911698
0.08,1.0346424622152024,0.08589106801342475,1.0011238796578905,2.2138899483507863,5.827390344646774,6.665464109794694,0.9574193063986498,0.8814439005877631,0.9212656986076229,1.003368418587743,1.0035361004761014,1.005090231530741,1.0421427896745332,0.9068325207991657,1.0133617951293958,1.026590473919014,1.154821349143136,-0.016322175222364226
0.09,1.0347537147477883,0.09025922703709173,1.001172270654566,2.13865292712024,5.873253369346698,6.722218613048016,0.9563076915961376,0.8940711343219694,0.9345035978723236,1.0033417342422093,1.0035024594407076,1.0159491421090554,1.0492954388882478,0.9173000407720145,1.0211201021478056,1.0342130987116713,1.1630164866712813,-0.015615034060726887
0.1,1.0347958937221915,0.09482878169331321,1.0012244434388637,2.087006307238708,5.916173771044249,6.7751304450290375,0.9552302817643209,0.906575034196972,0.9475908826271349,1.0033081119426068,1.0034615688932218,1.0268126574063425,1.0565865821383404,0.9275718404356537,1.0290680837491637,1.0417519916037763,1.1713187788516342,-0.014834620192510228
0.11,1.034788930086433,0.09960862920993609,1.0012795271695167,2.050549803083746,5.956513520191805,6.824636633242683,0.9541792869614187,0.9189307573684588,0.9605016935196004,1.0032679159559865,1.0034138425753667,1.0376541814012152,1.0640239683532156,0.9376452619702821,1.0372026833209,1.0492079677210933,1.1797213436465486,-0.013975524897045719
0.12,1.0347461861658687,0.1046061627181829,1.001336887575999,2.0242184765928863,5.994465181974654,6.870973542841779,0.9531518695614132,0.9311147432531343,0.9732116362797099,1.0032215049627773,1.0033596875583095,1.0484485169308044,1.0716145499231526,0.9475191455038225,1.045520106872575,1.0565825886919262,1.188217408458101,-0.01303239798658566
0.13,1.0346766061574735,0.10982745054751411,1.001396029663682,2.004968328115229,6.030122359638079,6.914260926747871,0.9521481939748299,0.943104740975492,0.9856978049666804,1.0031692379664838,1.003299510034132,1.0591719436090108,1.079364415194927,0.9571937667745496,1.0540157856409913,1.063878074632058,1.196800277175215,-0.011999965312505741
0.14,1.0345863003537183,0.11527733057634407,1.0014565393607817,1.9909779083951449,6.0635221548903475,6.954552473687475,0.9511702129116701,0.9548798381403348,0.9979388059099462,1.0031114773145813,1.0032337182024018,1.069802293847678,1.0872787303077034,0.9666707707265685,1.062684353039629,1.071097238947861,1.2054633079373365,-0.01087304304387832
0.15,1.0344795986574333,0.12095945584856593,1.0015180488376991,1.9811628633119875,6.094670700765219,6.991866116982356,0.9502209072024526,0.9664204883930462,1.009914779857337,1.003048589994245,1.003162723431063,1.0803190231557709,1.0953616897475908,0.9759530986639262,1.07151963383555,1.0782434350361187,1.2141998980214326,-0.009646549734030141
0.16,1.0343597170150152,0.12687631358992119,1.0015802162238183,1.9748806033548485,6.1235584553816755,7.026202118844506,0.9493038057875436,0.9777085363184375,1.021607420939869,1.002980947907894,1.0030869404048857,1.0907032722897962,1.1036164753315965,0.9850449079599826,1.080514644124569,1.0853205084390314,1.2230034736559146,-0.008315516800715492
0.17,1.0342291675147641,0.13302923111118495,1.0016427140792383,1.971750619970774,6.150169302959739,7.057553773660338,0.9484226793037532,0.9887272388908603,1.0329999917266859,1.002908927555664,1.0030067866926318,1.1009379197152154,1.1120452234986793,0.9939514841701517,1.0896616010674722,1.092332750746674,1.2318674834075043,-0.006875097808966458
0.18,1.0340900066611238,0.13941837678235264,1.0017052231846817,1.9715452017824835,6.174485910695127,7.085913658126501,0.9475813416652872,0.9994612830903518,1.0440773340446445,1.0028329093834165,1.0029226819931398,1.1110076234134045,1.1206490008527732,1.0026791459279758,1.0989519415652471,1.0992848532065713,1.2407853942939666,-0.0053205768023680995
0.19,1.0339439842065494,0.1460427610103244,1.0017674295540226,1.974123033037048,6.196492824139739,7.11127719917191,0.946783519235198,1.0098967995427162,1.0548258754770388,1.0027532769525314,1.0028350472167666,1.1208988514526355,1.1294277879109698,1.0112351433378788,1.1083763491618588,1.1061818590161452,1.2497506900795674,-0.0036473758417363156
